movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn
The Act of Killing,Joshua Oppenheimer,2012,7,Joseph Fahim,Freelance film critic,Egypt,/name/nm1484791/,"Texas, USA"
Caché,Michael Haneke,2005,8,Joseph Fahim,Freelance film critic,Egypt,/name/nm0359734/,"Munich, Bavaria, Germany"
Divine Intervention,Elia Suleiman,2002,9,Joseph Fahim,Freelance film critic,Egypt,/name/nm0837839/,"Nazareth, Israel"
Crimson Gold,Jafar Panahi,2003,10,Joseph Fahim,Freelance film critic,Egypt,/name/nm0070159/,"Mianeh, Azarbaijan Province, Iran"
Zodiac,David Fincher,2007,1,Devin Faraci,Birth.Movies.Death.,US,/name/nm0000399/,"Denver, Colorado, USA"
Inside Llewyn Davis,Joel and Ethan Coen,2013,2,Devin Faraci,Birth.Movies.Death.,US,,
There Will Be Blood,Paul Thomas Anderson,2007,3,Devin Faraci,Birth.Movies.Death.,US,/name/nm0000759/,"Studio City, California, USA"
Spider-Man 2,Sam Raimi,2004,4,Devin Faraci,Birth.Movies.Death.,US,/name/nm0000600/,"Royal Oak, Michigan, USA"
Oldboy,Park Chan-wook,2003,5,Devin Faraci,Birth.Movies.Death.,US,/name/nm0661791/,"Seoul, South Korea"
Inglourious Basterds,Quentin Tarantino,2009,6,Devin Faraci,Birth.Movies.Death.,US,/name/nm0000233/,"Knoxville, Tennessee, USA"
Frozen,Chris Buck and Jennifer Lee,2013,7,Devin Faraci,Birth.Movies.Death.,US,,
25th Hour,Spike Lee,2002,8,Devin Faraci,Birth.Movies.Death.,US,/name/nm0000490/,"Atlanta, Georgia, USA"
Requiem for a Dream,Darren Aronofsky,2000,9,Devin Faraci,Birth.Movies.Death.,US,/name/nm0004716/,"Brooklyn, New York City, New York, USA"
Shaun of the Dead,Edgar Wright,2004,10,Devin Faraci,Birth.Movies.Death.,US,/name/nm0942367/,"Poole, Dorset, England, UK"
There Will Be Blood,Paul Thomas Anderson,2007,1,David Fear,Rolling Stone,US,/name/nm0000759/,"Studio City, California, USA"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,David Fear,Rolling Stone,US,/name/nm0612816/,"Iasi, Romania"
Yi Yi: A One and a Two,Edward Yang,2000,3,David Fear,Rolling Stone,US,/name/nm0945981/,"Shanghai, China"
Shame,Steve McQueen,2011,4,David Fear,Rolling Stone,US,/name/nm0000537/,"Beech Grove, Indiana, USA"
Boyhood,Richard Linklater,2014,5,David Fear,Rolling Stone,US,/name/nm0000500/,"Houston, Texas, USA"
The Social Network,David Fincher,2010,6,David Fear,Rolling Stone,US,/name/nm0000399/,"Denver, Colorado, USA"
Manchester by the Sea,Kenneth Lonergan,2016,7,David Fear,Rolling Stone,US,/name/nm0518836/,"New York City, New York, USA"
Mulholland Drive,David Lynch,2001,8,David Fear,Rolling Stone,US,/name/nm0000186/,"Missoula, Montana, USA"
Head-On,Fatih Akin,2004,9,David Fear,Rolling Stone,US,/name/nm0015359/,"Hamburg, West Germany"
In the Mood for Love,Wong Kar-wai,2000,10,David Fear,Rolling Stone,US,/name/nm0939182/,"Shanghai, China"
Sideways,Alexander Payne,2004,1,Scott Feinberg,The Hollywood Reporter,US,/name/nm0668247/,"Omaha, Nebraska, USA"
The Social Network,David Fincher,2010,2,Scott Feinberg,The Hollywood Reporter,US,/name/nm0000399/,"Denver, Colorado, USA"
"Synecdoche, New York",Charlie Kaufman,2008,3,Scott Feinberg,The Hollywood Reporter,US,/name/nm0442109/,"New York City, New York, USA"
The Diving Bell and the Butterfly,Julian Schnabel,2007,4,Scott Feinberg,The Hollywood Reporter,US,/name/nm0773603/,"Brooklyn, New York, USA"
Dogville,Lars von Trier,2003,5,Scott Feinberg,The Hollywood Reporter,US,/name/nm0001885/,"Copenhagen, Denmark"
Short Term 12,Destin Daniel Cretton,2013,6,Scott Feinberg,The Hollywood Reporter,US,/name/nm2308774/,"Maui, Hawaii, USA"
WALL-E,Andrew Stanton,2008,7,Scott Feinberg,The Hollywood Reporter,US,/name/nm0004056/,"Boston, Massachusetts, USA"
Blue Valentine,Derek Cianfrance,2010,8,Scott Feinberg,The Hollywood Reporter,US,/name/nm0161834/,"Lakewood, Colorado, USA"
The Squid and the Whale,Noah Baumbach,2005,9,Scott Feinberg,The Hollywood Reporter,US,/name/nm0000876/,"Brooklyn, New York City, New York, USA"
A Serious Man,Joel and Ethan Coen,2009,10,Scott Feinberg,The Hollywood Reporter,US,,
Jersey Boys,Clint Eastwood,2014,1,Javier Porta Fouz,La Nacion,Argentina,/name/nm0000142/,"San Francisco, California, USA"
Moulin Rouge!,Baz Luhrmann,2001,2,Javier Porta Fouz,La Nacion,Argentina,/name/nm0525303/,"New South Wales, Australia"
Nine Queens,Fabián Bielinsky,2000,3,Javier Porta Fouz,La Nacion,Argentina,/name/nm0081433/,"Buenos Aires, Argentina"
Mia Madre,Nanni Moretti,2015,4,Javier Porta Fouz,La Nacion,Argentina,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy"
"Right Now, Wrong Then",Hong Sang-soo,2015,5,Javier Porta Fouz,La Nacion,Argentina,/name/nm0393254/,"Seoul, Korea"
Toy Story 3,Lee Unkrich,2010,6,Javier Porta Fouz,La Nacion,Argentina,/name/nm0881279/,"Cleveland, Ohio, USA"
Mad Max: Fury Road,George Miller,2015,7,Javier Porta Fouz,La Nacion,Argentina,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Spirited Away,Hayao Miyazaki,2001,8,Javier Porta Fouz,La Nacion,Argentina,/name/nm0594503/,"Tokyo, Japan"
Adventureland,Greg Mottola,2009,9,Javier Porta Fouz,La Nacion,Argentina,/name/nm0609549/,"Dix Hills, Long Island, New York, USA"
Open Range,Kevin Costner,2003,10,Javier Porta Fouz,La Nacion,Argentina,/name/nm0000126/,"Lynwood, California, USA"
The World,Jia Zhangke,2004,1,Kenji Fujishima,Freelance film critic,US,/name/nm0422605/,"Fenyang, Shanxi, China"
Profit Motive and the Whispering Wind,John Gianvito,2007,2,Kenji Fujishima,Freelance film critic,US,/name/nm1072936/,
Inglourious Basterds,Quentin Tarantino,2009,3,Kenji Fujishima,Freelance film critic,US,/name/nm0000233/,"Knoxville, Tennessee, USA"
Pulse,Kiyoshi Kurosawa,2001,4,Kenji Fujishima,Freelance film critic,US,/name/nm0475905/,"Kobe, Japan"
Syndromes and a Century,Apichatpong Weerasethakul,2006,5,Kenji Fujishima,Freelance film critic,US,/name/nm0917405/,"Bangkok, Thailand"
In Jackson Heights,Frederick Wiseman,2015,6,Kenji Fujishima,Freelance film critic,US,/name/nm0936464/,"Boston, Massachusetts, USA"
"Synecdoche, New York",Charlie Kaufman,2008,7,Kenji Fujishima,Freelance film critic,US,/name/nm0442109/,"New York City, New York, USA"
Love Exposure,Sion Sono,2008,8,Kenji Fujishima,Freelance film critic,US,/name/nm0814469/,"Toyokawa, Aichi, Japan"
The Tree of Life,Terrence Malick,2011,9,Kenji Fujishima,Freelance film critic,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Casino Royale,Martin Campbell,2006,10,Kenji Fujishima,Freelance film critic,US,/name/nm0132709/,"Hastings, New Zealand"
Oldboy,Park Chan-wook,2003,1,Ernesto Garratt,El Mercurio,Chile,/name/nm0661791/,"Seoul, South Korea"
Children of Men,Alfonso Cuarón,2006,2,Ernesto Garratt,El Mercurio,Chile,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Mulholland Drive,David Lynch,2001,3,Ernesto Garratt,El Mercurio,Chile,/name/nm0000186/,"Missoula, Montana, USA"
The Secret in Their Eyes,Juan José Campanella,2009,4,Ernesto Garratt,El Mercurio,Chile,/name/nm0002728/,"Buenos Aires, Argentina"
Sicario,Denis Villeneuve,2015,5,Ernesto Garratt,El Mercurio,Chile,/name/nm0898288/,"Trois-Rivières, Québec, Canada"
No,Pablo Larraín,2012,6,Ernesto Garratt,El Mercurio,Chile,/name/nm1883257/,"Santiago, Chile"
Donnie Darko,Richard Kelly,2001,7,Ernesto Garratt,El Mercurio,Chile,/name/nm0446819/,"Newport News, Virginia, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Ernesto Garratt,El Mercurio,Chile,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
The Social Network,David Fincher,2010,9,Ernesto Garratt,El Mercurio,Chile,/name/nm0000399/,"Denver, Colorado, USA"
Whiplash,Damien Chazelle,2014,10,Ernesto Garratt,El Mercurio,Chile,/name/nm3227090/,"Providence, Rhode Island, USA"
Ex Machina,Alex Garland,2015,1,Steven Gaydos,Variety,US,/name/nm0307497/,"London, England, UK"
Inside Out,Pete Docter,2015,2,Steven Gaydos,Variety,US,/name/nm0230032/,"Bloomington, Minnesota, USA"
Animal Kingdom,David Michôd,2010,3,Steven Gaydos,Variety,US,/name/nm2391575/,
Apocalypto,Mel Gibson,2006,4,Steven Gaydos,Variety,US,/name/nm0000154/,"Peekskill, New York, USA"
Three Monkeys,Nuri Bilge Ceylan,2008,5,Steven Gaydos,Variety,US,/name/nm0149196/,"Istanbul, Turkey"
WALL-E,Andrew Stanton,2008,6,Steven Gaydos,Variety,US,/name/nm0004056/,"Boston, Massachusetts, USA"
Listen to Me Marlon,Stevan Riley,2015,7,Steven Gaydos,Variety,US,/name/nm2257147/,
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,8,Steven Gaydos,Variety,US,/name/nm0612816/,"Iasi, Romania"
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,9,Steven Gaydos,Variety,US,/name/nm0570912/,"Philadelphia, Pennsylvania, USA"
Centochiodi,Ermanno Olmi,2007,10,Steven Gaydos,Variety,US,/name/nm0647438/,"Bergamo, Lombardy, Italy"
United 93,Paul Greengrass,2006,1,Noah Gittell,Washington City Paper,US,/name/nm0339030/,"Cheam, Surrey, England, UK"
Zodiac,David Fincher,2007,2,Noah Gittell,Washington City Paper,US,/name/nm0000399/,"Denver, Colorado, USA"
Bridesmaids,Paul Feig,2011,3,Noah Gittell,Washington City Paper,US,/name/nm0082450/,"Mount Clemens, Michigan, USA"
WALL-E,Andrew Stanton,2008,4,Noah Gittell,Washington City Paper,US,/name/nm0004056/,"Boston, Massachusetts, USA"
Brooklyn,John Crowley,2015,5,Noah Gittell,Washington City Paper,US,/name/nm1259871/,"Cork, Ireland"
The Look of Silence,Joshua Oppenheimer,2014,6,Noah Gittell,Washington City Paper,US,/name/nm1484791/,"Texas, USA"
Punch-Drunk Love,Paul Thomas Anderson,2002,7,Noah Gittell,Washington City Paper,US,/name/nm0000759/,"Studio City, California, USA"
12 Years a Slave,Steve McQueen,2013,8,Noah Gittell,Washington City Paper,US,/name/nm0000537/,"Beech Grove, Indiana, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,9,Noah Gittell,Washington City Paper,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
We Need to Talk About Kevin,Lynne Ramsay,2011,10,Noah Gittell,Washington City Paper,US,/name/nm0708903/,"Glasgow, Strathclyde, Scotland, UK"
Far From Heaven,Todd Haynes,2002,1,Owen Gleiberman,Variety,US,/name/nm0001331/,"Los Angeles, California, USA"
Chuck & Buck,Miguel Arteta,2000,2,Owen Gleiberman,Variety,US,/name/nm0037708/,"San Juan, Puerto Rico"
Gladiator,Ridley Scott,2000,3,Owen Gleiberman,Variety,US,/name/nm0000631/,"South Shields, County Durham, England, UK"
The Century of the Self,Adam Curtis,2002,4,Owen Gleiberman,Variety,US,/name/nm0193231/,"Dartford, Kent, England, UK"
Moulin Rouge!,Baz Luhrmann,2001,5,Owen Gleiberman,Variety,US,/name/nm0525303/,"New South Wales, Australia"
Munich,Steven Spielberg,2005,6,Owen Gleiberman,Variety,US,/name/nm0000229/,"Cincinnati, Ohio, USA"
Casino Royale,Martin Campbell,2006,7,Owen Gleiberman,Variety,US,/name/nm0132709/,"Hastings, New Zealand"
Lilya 4-Ever,Lukas Moodysson,2002,8,Owen Gleiberman,Variety,US,/name/nm0600546/,"Malmö, Skåne län, Sweden"
Sideways,Alexander Payne,2004,9,Owen Gleiberman,Variety,US,/name/nm0668247/,"Omaha, Nebraska, USA"
Inglourious Basterds,Quentin Tarantino,2009,10,Owen Gleiberman,Variety,US,/name/nm0000233/,"Knoxville, Tennessee, USA"
Mulholland Drive,David Lynch,2001,1,Ed Gonzalez,Slant Magazine,US,/name/nm0000186/,"Missoula, Montana, USA"
In the Mood for Love,Wong Kar-wai,2000,2,Ed Gonzalez,Slant Magazine,US,/name/nm0939182/,"Shanghai, China"
The New World,Terrence Malick,2005,3,Ed Gonzalez,Slant Magazine,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Certified Copy,Abbas Kiarostami,2010,4,Ed Gonzalez,Slant Magazine,US,/name/nm0452102/,"Tehran, Iran"
Femme Fatale,Brian De Palma,2002,5,Ed Gonzalez,Slant Magazine,US,/name/nm0000361/,"Newark, New Jersey, USA"
Margaret,Kenneth Lonergan,2011,6,Ed Gonzalez,Slant Magazine,US,/name/nm0518836/,"New York City, New York, USA"
Under the Skin,Jonathan Glazer,2013,7,Ed Gonzalez,Slant Magazine,US,/name/nm0322242/,"London, England, UK"
This Is Not a Film,Mojtaba Mirtahmasb and Jafar Panahi,2011,8,Ed Gonzalez,Slant Magazine,US,,
Two Lovers,James Gray,2008,9,Ed Gonzalez,Slant Magazine,US,/name/nm0336695/,"New York City, New York, USA"
Heart of a Dog,Laurie Anderson,2015,10,Ed Gonzalez,Slant Magazine,US,/name/nm0002173/,"Glen Ellyn, Illinois, USA"
In the Mood for Love,Wong Kar-wai,2000,1,Juan Carlos González,El Tiempo,Colombia,/name/nm0939182/,"Shanghai, China"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,Juan Carlos González,El Tiempo,Colombia,/name/nm0612816/,"Iasi, Romania"
A Separation,Asghar Farhadi,2011,3,Juan Carlos González,El Tiempo,Colombia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Son of Saul,László Nemes,2015,4,Juan Carlos González,El Tiempo,Colombia,/name/nm1841577/,"Budapest, Hungary"
Elephant,Gus Van Sant,2003,5,Juan Carlos González,El Tiempo,Colombia,/name/nm0001814/,"Louisville, Kentucky, USA"
A Prophet,Jacques Audiard,2009,6,Juan Carlos González,El Tiempo,Colombia,/name/nm0002191/,"Paris, France"
There Will Be Blood,Paul Thomas Anderson,2007,7,Juan Carlos González,El Tiempo,Colombia,/name/nm0000759/,"Studio City, California, USA"
The Lives of Others,Florian Henckel von Donnersmarck,2006,8,Juan Carlos González,El Tiempo,Colombia,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany"
Frances Ha,Noah Baumbach,2012,9,Juan Carlos González,El Tiempo,Colombia,/name/nm0000876/,"Brooklyn, New York City, New York, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Juan Carlos González,El Tiempo,Colombia,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Carmen Gray,Berlin Critics’ Week,Germany,,
The Act of Killing,Joshua Oppenheimer,2012,2,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm1484791/,"Texas, USA"
White Material,Claire Denis,2009,3,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0219136/,"Paris, France"
Even If She Had Been a Criminal...,Jean-Gabriel Périot,2006,4,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm1516014/,"Bellac, Haute-Vienne, France"
Spring Breakers,Harmony Korine,2012,5,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0005101/,"Bolinas, California, USA"
In the Mood for Love,Wong Kar-wai,2000,6,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0939182/,"Shanghai, China"
Stranger by the Lake,Alain Guiraudie,2013,7,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0347492/,"Villefranche-de-Rouergue, Aveyron, France"
Colossal Youth,Pedro Costa,2006,8,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0182276/,"Lisbon, Portugal"
Story of My Death,Albert Serra,2013,9,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm2247200/,"Banyoles, Girona, Catalonia, Spain"
Aurora,Cristi Puiu,2010,10,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm1090998/,"Bucharest, Romania"
Dogville,Lars von Trier,2003,1,Tim Grierson,Screen International,US,/name/nm0001885/,"Copenhagen, Denmark"
Zodiac,David Fincher,2007,2,Tim Grierson,Screen International,US,/name/nm0000399/,"Denver, Colorado, USA"
There Will Be Blood,Paul Thomas Anderson,2007,3,Tim Grierson,Screen International,US,/name/nm0000759/,"Studio City, California, USA"
Inside Llewyn Davis,Joel and Ethan Coen,2013,4,Tim Grierson,Screen International,US,,
Yi Yi: A One and a Two,Edward Yang,2000,5,Tim Grierson,Screen International,US,/name/nm0945981/,"Shanghai, China"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,6,Tim Grierson,Screen International,US,,
The Master,Paul Thomas Anderson,2012,7,Tim Grierson,Screen International,US,/name/nm0000759/,"Studio City, California, USA"
It's Such a Beautiful Day,Don Hertzfeldt,2012,8,Tim Grierson,Screen International,US,/name/nm0381116/,"Fremont, California, USA"
Boyhood,Richard Linklater,2014,9,Tim Grierson,Screen International,US,/name/nm0000500/,"Houston, Texas, USA"
Shutter Island,Martin Scorsese,2010,10,Tim Grierson,Screen International,US,/name/nm0000217/,"Queens, New York City, New York, USA"
Saraband,Ingmar Bergman,2003,1,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0000005/,"Uppsala, Uppsala län, Sweden"
Memento,Christopher Nolan,2000,2,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0634240/,"London, England, UK"
Blue Is the Warmest Color,Abdellatif Kechiche,2013,3,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0444244/,"Tunis, Tunisia"
The Return,Andrey Zvyagintsev,2003,4,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
Amour,Michael Haneke,2012,5,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0359734/,"Munich, Bavaria, Germany"
Mulholland Drive,David Lynch,2001,6,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0000186/,"Missoula, Montana, USA"
Import Export,Ulrich Seidl,2007,7,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0782430/,"Vienna, Austria"
Son of Saul,László Nemes,2015,8,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm1841577/,"Budapest, Hungary"
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0000233/,"Knoxville, Tennessee, USA"
The Revenant,Alejandro González Iñárritu,2015,10,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
Tropical Malady,Apichatpong Weerasethakul,2004,1,Antoine Guillot,France Culture,France,/name/nm0917405/,"Bangkok, Thailand"
Mulholland Drive,David Lynch,2001,2,Antoine Guillot,France Culture,France,/name/nm0000186/,"Missoula, Montana, USA"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,3,Antoine Guillot,France Culture,France,,
Tie Xi Qu: West of the Tracks,Wang Bing,2002,4,Antoine Guillot,France Culture,France,/name/nm1504063/,"Xi'an, Shaanxi, China"
Le filmeur,Alain Cavalier,2005,5,Antoine Guillot,France Culture,France,/name/nm0146760/,"Vendôme, Loir-et-Cher, France"
Holy Motors,Leos Carax,2012,6,Antoine Guillot,France Culture,France,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Elephant,Gus Van Sant,2003,7,Antoine Guillot,France Culture,France,/name/nm0001814/,"Louisville, Kentucky, USA"
A Touch of Sin,Jia Zhangke,2013,8,Antoine Guillot,France Culture,France,/name/nm0422605/,"Fenyang, Shanxi, China"
Pan's Labyrinth,Guillermo Del Toro,2006,9,Antoine Guillot,France Culture,France,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Spirited Away,Hayao Miyazaki,2001,10,Antoine Guillot,France Culture,France,/name/nm0594503/,"Tokyo, Japan"
The New World,Terrence Malick,2005,1,Tom Gunning,University of Chicago,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Capitalism: Child Labor,Ken Jacobs,2007,2,Tom Gunning,University of Chicago,US,/name/nm0414499/,"Williamsburg, Brooklyn, New York City, New York, USA"
Psalm III: 'Night of the Meek',Phil Solomon,2002,3,Tom Gunning,University of Chicago,US,/name/nm0813409/,"Manhattan, New York City, New York, USA"
Goodbye to Language,Jean-Luc Godard,2014,4,Tom Gunning,University of Chicago,US,/name/nm0000419/,"Paris, France"
Daylight Moon,Lewis Klahr,2002,5,Tom Gunning,University of Chicago,US,/name/nm0458185/,
Oldboy,Park Chan-wook,2003,6,Tom Gunning,University of Chicago,US,/name/nm0661791/,"Seoul, South Korea"
A Commuter’s Life (What a Life!),What a Life!) (Ernie Gehr,2014,7,Tom Gunning,University of Chicago,US,,
The Fourth Watch,Janie Geiser,2000,8,Tom Gunning,University of Chicago,US,/name/nm0312026/,"Baton Rouge, Louisiana, USA"
Our Daily Bread,Nikolaus Geyrhalter,2005,9,Tom Gunning,University of Chicago,US,/name/nm0315430/,"Vienna, Austria"
The World,Jia Zhangke,2004,10,Tom Gunning,University of Chicago,US,/name/nm0422605/,"Fenyang, Shanxi, China"
Ankhon Dekhi,Rajat Kapoor,2013,1,Shubhra Gupta,The Indian Express,India,/name/nm0438494/,"New Delhi, India"
Court,Chaitanya Tamhane,2014,2,Shubhra Gupta,The Indian Express,India,/name/nm4058904/,"Mumbai, Maharashtra, India"
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,3,Shubhra Gupta,The Indian Express,India,/name/nm1962313/,"New Delhi, India"
Monsoon Wedding,Mira Nair,2001,4,Shubhra Gupta,The Indian Express,India,/name/nm0619762/,"Bhubaneshwar, Orissa, India"
Dev D,Anurag Kashyap,2009,5,Shubhra Gupta,The Indian Express,India,/name/nm0440604/,"Gorakhpur, Uttar Pradesh, India"
Paan Singh Tomar,Tigmanshu Dhulia,2012,6,Shubhra Gupta,The Indian Express,India,/name/nm0223606/,
Udaan,Vikramaditya Motwane,2010,7,Shubhra Gupta,The Indian Express,India,/name/nm0003939/,"Bombay, India"
Hazaaron Khwaishein Aisi,Sudhir Mishra,2003,8,Shubhra Gupta,The Indian Express,India,/name/nm0592803/,
Maqbool,Vishal Bhardwaj,2003,9,Shubhra Gupta,The Indian Express,India,/name/nm0080235/,
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,2001,10,Shubhra Gupta,The Indian Express,India,/name/nm0332950/,"Kolhapur, Maharashtra, India"
There Will Be Blood,Paul Thomas Anderson,2007,1,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0000759/,"Studio City, California, USA"
Mulholland Drive,David Lynch,2001,2,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0000186/,"Missoula, Montana, USA"
AI: Artificial Intelligence,Steven Spielberg,2001,3,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0000229/,"Cincinnati, Ohio, USA"
Blue Is the Warmest Color,Abdellatif Kechiche,2013,4,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0444244/,"Tunis, Tunisia"
Spirited Away,Hayao Miyazaki,2001,5,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0594503/,"Tokyo, Japan"
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,6,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0149196/,"Istanbul, Turkey"
In the Mood for Love,Wong Kar-wai,2000,7,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0939182/,"Shanghai, China"
The Lady and the Duke,Éric Rohmer,2001,8,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0006445/,"Tulle, Corrèze, France"
Yi Yi: A One and a Two,Edward Yang,2000,9,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0945981/,"Shanghai, China"
Silent Souls,Aleksey Fedorchenko,2010,10,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm1922735/,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, RSFSR, USSR [now Russia]"
"Synecdoche, New York",Charlie Kaufman,2008,1,Angie Han,Slashfilm,US,/name/nm0442109/,"New York City, New York, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Angie Han,Slashfilm,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Boyhood,Richard Linklater,2014,3,Angie Han,Slashfilm,US,/name/nm0000500/,"Houston, Texas, USA"
Mad Max: Fury Road,George Miller,2015,4,Angie Han,Slashfilm,US,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Me and You and Everyone We Know,Miranda July,2005,5,Angie Han,Slashfilm,US,/name/nm0432380/,"Barre, Vermont, USA"
Gone Girl,David Fincher,2014,6,Angie Han,Slashfilm,US,/name/nm0000399/,"Denver, Colorado, USA"
Inside Llewyn Davis,Joel and Ethan Coen,2013,7,Angie Han,Slashfilm,US,,
Only Lovers Left Alive,Jim Jarmusch,2013,8,Angie Han,Slashfilm,US,/name/nm0000464/,"Akron, Ohio, USA"
Selma,Ava DuVernay,2014,9,Angie Han,Slashfilm,US,/name/nm1148550/,"Long Beach, California, USA"
Pain & Gain,Michael Bay,2013,10,Angie Han,Slashfilm,US,/name/nm0000881/,"Los Angeles, California, USA"
Inside Out,Pete Docter,2015,1,Aisha Harris,Slate,US,/name/nm0230032/,"Bloomington, Minnesota, USA"
When the Levees Broke: A Requiem in Four Acts,Spike Lee,2006,2,Aisha Harris,Slate,US,/name/nm0000490/,"Atlanta, Georgia, USA"
Stories We Tell,Sarah Polley,2012,3,Aisha Harris,Slate,US,/name/nm0001631/,"Toronto, Ontario, Canada"
Her,Spike Jonze,2013,4,Aisha Harris,Slate,US,/name/nm0005069/,"Rockville, Maryland, USA"
Children of Men,Alfonso Cuarón,2006,5,Aisha Harris,Slate,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Before Midnight,Richard Linklater,2013,6,Aisha Harris,Slate,US,/name/nm0000500/,"Houston, Texas, USA"
The Look of Silence,Joshua Oppenheimer,2014,7,Aisha Harris,Slate,US,/name/nm1484791/,"Texas, USA"
Fruitvale Station,Ryan Coogler,2013,8,Aisha Harris,Slate,US,/name/nm3363032/,"Oakland, California, USA"
Love & Basketball,Gina Prince-Bythewood,2000,9,Aisha Harris,Slate,US,/name/nm0697656/,USA
Brick,Rian Johnson,2005,10,Aisha Harris,Slate,US,/name/nm0426059/,"Silver Spring, Maryland, USA"
Stray Dogs,Tsai Ming-liang,2013,1,Tina Hassannia,Freelance film critic,Canada,/name/nm0158857/,"Kuching, Sarawak, Malaysia"
A Separation,Asghar Farhadi,2011,2,Tina Hassannia,Freelance film critic,Canada,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Margaret,Kenneth Lonergan,2011,3,Tina Hassannia,Freelance film critic,Canada,/name/nm0518836/,"New York City, New York, USA"
Ten,Abbas Kiarostami,2002,4,Tina Hassannia,Freelance film critic,Canada,/name/nm0452102/,"Tehran, Iran"
35 Shots of Rum,Claire Denis,2008,5,Tina Hassannia,Freelance film critic,Canada,/name/nm0219136/,"Paris, France"
Closed Curtain,Jafar Panahi,2013,6,Tina Hassannia,Freelance film critic,Canada,/name/nm0070159/,"Mianeh, Azarbaijan Province, Iran"
