movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
Frozen,Chris Buck and Jennifer Lee,2013,7,Devin Faraci,Birth.Movies.Death.,US,,,"[46.3144754, 11.0480288]"
25th Hour,Spike Lee,2002,8,Devin Faraci,Birth.Movies.Death.,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
Requiem for a Dream,Darren Aronofsky,2000,9,Devin Faraci,Birth.Movies.Death.,US,/name/nm0004716/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
Shaun of the Dead,Edgar Wright,2004,10,Devin Faraci,Birth.Movies.Death.,US,/name/nm0942367/,"Poole, Dorset, England, UK","[50.74020055, -1.9537512539581008]"
There Will Be Blood,Paul Thomas Anderson,2007,1,David Fear,Rolling Stone,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,David Fear,Rolling Stone,US,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
Yi Yi: A One and a Two,Edward Yang,2000,3,David Fear,Rolling Stone,US,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
Shame,Steve McQueen,2011,4,David Fear,Rolling Stone,US,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Boyhood,Richard Linklater,2014,5,David Fear,Rolling Stone,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Social Network,David Fincher,2010,6,David Fear,Rolling Stone,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Manchester by the Sea,Kenneth Lonergan,2016,7,David Fear,Rolling Stone,US,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Mulholland Drive,David Lynch,2001,8,David Fear,Rolling Stone,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Head-On,Fatih Akin,2004,9,David Fear,Rolling Stone,US,/name/nm0015359/,"Hamburg, West Germany","[53.5809823, 9.9701743]"
In the Mood for Love,Wong Kar-wai,2000,10,David Fear,Rolling Stone,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Sideways,Alexander Payne,2004,1,Scott Feinberg,The Hollywood Reporter,US,/name/nm0668247/,"Omaha, Nebraska, USA","[41.2587459, -95.9383758]"
The Social Network,David Fincher,2010,2,Scott Feinberg,The Hollywood Reporter,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
"Synecdoche, New York",Charlie Kaufman,2008,3,Scott Feinberg,The Hollywood Reporter,US,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
The Diving Bell and the Butterfly,Julian Schnabel,2007,4,Scott Feinberg,The Hollywood Reporter,US,/name/nm0773603/,"Brooklyn, New York, USA","[40.6526006, -73.9497211]"
Dogville,Lars von Trier,2003,5,Scott Feinberg,The Hollywood Reporter,US,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Short Term 12,Destin Daniel Cretton,2013,6,Scott Feinberg,The Hollywood Reporter,US,/name/nm2308774/,"Maui, Hawaii, USA","[20.802956799999997, -156.31068331602177]"
WALL-E,Andrew Stanton,2008,7,Scott Feinberg,The Hollywood Reporter,US,/name/nm0004056/,"Boston, Massachusetts, USA","[42.3602534, -71.0582912]"
Blue Valentine,Derek Cianfrance,2010,8,Scott Feinberg,The Hollywood Reporter,US,/name/nm0161834/,"Lakewood, Colorado, USA","[39.631108499999996, -105.11005818223015]"
The Squid and the Whale,Noah Baumbach,2005,9,Scott Feinberg,The Hollywood Reporter,US,/name/nm0000876/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
A Serious Man,Joel and Ethan Coen,2009,10,Scott Feinberg,The Hollywood Reporter,US,,,"[46.3144754, 11.0480288]"
Jersey Boys,Clint Eastwood,2014,1,Javier Porta Fouz,La Nacion,Argentina,/name/nm0000142/,"San Francisco, California, USA","[37.7790262, -122.419906]"
Moulin Rouge!,Baz Luhrmann,2001,2,Javier Porta Fouz,La Nacion,Argentina,/name/nm0525303/,"New South Wales, Australia","[-31.8759835, 147.2869493]"
Nine Queens,Fabián Bielinsky,2000,3,Javier Porta Fouz,La Nacion,Argentina,/name/nm0081433/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
Mia Madre,Nanni Moretti,2015,4,Javier Porta Fouz,La Nacion,Argentina,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy","[46.7963194, 11.9355121]"
"Right Now, Wrong Then",Hong Sang-soo,2015,5,Javier Porta Fouz,La Nacion,Argentina,/name/nm0393254/,"Seoul, Korea","[37.5666791, 126.9782914]"
Toy Story 3,Lee Unkrich,2010,6,Javier Porta Fouz,La Nacion,Argentina,/name/nm0881279/,"Cleveland, Ohio, USA","[41.5051613, -81.6934446]"
Mad Max: Fury Road,George Miller,2015,7,Javier Porta Fouz,La Nacion,Argentina,/name/nm0004306/,"Chinchilla, Queensland, Australia","[-26.7416613, 150.6225161]"
Spirited Away,Hayao Miyazaki,2001,8,Javier Porta Fouz,La Nacion,Argentina,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Adventureland,Greg Mottola,2009,9,Javier Porta Fouz,La Nacion,Argentina,/name/nm0609549/,"Dix Hills, Long Island, New York, USA",
Open Range,Kevin Costner,2003,10,Javier Porta Fouz,La Nacion,Argentina,/name/nm0000126/,"Lynwood, California, USA","[33.924831, -118.2024154]"
The World,Jia Zhangke,2004,1,Kenji Fujishima,Freelance film critic,US,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
Profit Motive and the Whispering Wind,John Gianvito,2007,2,Kenji Fujishima,Freelance film critic,US,/name/nm1072936/,,"[46.3144754, 11.0480288]"
Inglourious Basterds,Quentin Tarantino,2009,3,Kenji Fujishima,Freelance film critic,US,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Pulse,Kiyoshi Kurosawa,2001,4,Kenji Fujishima,Freelance film critic,US,/name/nm0475905/,"Kobe, Japan","[34.6932379, 135.1943764]"
Syndromes and a Century,Apichatpong Weerasethakul,2006,5,Kenji Fujishima,Freelance film critic,US,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
In Jackson Heights,Frederick Wiseman,2015,6,Kenji Fujishima,Freelance film critic,US,/name/nm0936464/,"Boston, Massachusetts, USA","[42.3602534, -71.0582912]"
"Synecdoche, New York",Charlie Kaufman,2008,7,Kenji Fujishima,Freelance film critic,US,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Love Exposure,Sion Sono,2008,8,Kenji Fujishima,Freelance film critic,US,/name/nm0814469/,"Toyokawa, Aichi, Japan","[34.827644, 137.378586]"
The Tree of Life,Terrence Malick,2011,9,Kenji Fujishima,Freelance film critic,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Casino Royale,Martin Campbell,2006,10,Kenji Fujishima,Freelance film critic,US,/name/nm0132709/,"Hastings, New Zealand","[-39.6417678, 176.8430781]"
Oldboy,Park Chan-wook,2003,1,Ernesto Garratt,El Mercurio,Chile,/name/nm0661791/,"Seoul, South Korea","[37.5666791, 126.9782914]"
Children of Men,Alfonso Cuarón,2006,2,Ernesto Garratt,El Mercurio,Chile,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Mulholland Drive,David Lynch,2001,3,Ernesto Garratt,El Mercurio,Chile,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Secret in Their Eyes,Juan José Campanella,2009,4,Ernesto Garratt,El Mercurio,Chile,/name/nm0002728/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
Sicario,Denis Villeneuve,2015,5,Ernesto Garratt,El Mercurio,Chile,/name/nm0898288/,"Trois-Rivières, Québec, Canada","[46.3507999, -72.5571257]"
No,Pablo Larraín,2012,6,Ernesto Garratt,El Mercurio,Chile,/name/nm1883257/,"Santiago, Chile","[-33.4377756, -70.6504502]"
Donnie Darko,Richard Kelly,2001,7,Ernesto Garratt,El Mercurio,Chile,/name/nm0446819/,"Newport News, Virginia, USA","[36.9775016, -76.42977]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Ernesto Garratt,El Mercurio,Chile,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
The Social Network,David Fincher,2010,9,Ernesto Garratt,El Mercurio,Chile,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Whiplash,Damien Chazelle,2014,10,Ernesto Garratt,El Mercurio,Chile,/name/nm3227090/,"Providence, Rhode Island, USA","[41.8239891, -71.4128343]"
Ex Machina,Alex Garland,2015,1,Steven Gaydos,Variety,US,/name/nm0307497/,"London, England, UK","[51.5073219, -0.1276474]"
Inside Out,Pete Docter,2015,2,Steven Gaydos,Variety,US,/name/nm0230032/,"Bloomington, Minnesota, USA","[44.8322405, -93.3204872]"
Animal Kingdom,David Michôd,2010,3,Steven Gaydos,Variety,US,/name/nm2391575/,,"[46.3144754, 11.0480288]"
Apocalypto,Mel Gibson,2006,4,Steven Gaydos,Variety,US,/name/nm0000154/,"Peekskill, New York, USA","[41.289811, -73.9204922]"
Three Monkeys,Nuri Bilge Ceylan,2008,5,Steven Gaydos,Variety,US,/name/nm0149196/,"Istanbul, Turkey","[41.0096334, 28.9651646]"
WALL-E,Andrew Stanton,2008,6,Steven Gaydos,Variety,US,/name/nm0004056/,"Boston, Massachusetts, USA","[42.3602534, -71.0582912]"
Listen to Me Marlon,Stevan Riley,2015,7,Steven Gaydos,Variety,US,/name/nm2257147/,,"[46.3144754, 11.0480288]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,8,Steven Gaydos,Variety,US,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,9,Steven Gaydos,Variety,US,/name/nm0570912/,"Philadelphia, Pennsylvania, USA","[39.9527237, -75.1635262]"
Centochiodi,Ermanno Olmi,2007,10,Steven Gaydos,Variety,US,/name/nm0647438/,"Bergamo, Lombardy, Italy","[45.756655699999996, 9.754219200862249]"
United 93,Paul Greengrass,2006,1,Noah Gittell,Washington City Paper,US,/name/nm0339030/,"Cheam, Surrey, England, UK","[51.35186935, -0.22298660290908628]"
Zodiac,David Fincher,2007,2,Noah Gittell,Washington City Paper,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Bridesmaids,Paul Feig,2011,3,Noah Gittell,Washington City Paper,US,/name/nm0082450/,"Mount Clemens, Michigan, USA","[42.5972563, -82.8779754]"
WALL-E,Andrew Stanton,2008,4,Noah Gittell,Washington City Paper,US,/name/nm0004056/,"Boston, Massachusetts, USA","[42.3602534, -71.0582912]"
Brooklyn,John Crowley,2015,5,Noah Gittell,Washington City Paper,US,/name/nm1259871/,"Cork, Ireland","[51.897077, -8.4654674]"
The Look of Silence,Joshua Oppenheimer,2014,6,Noah Gittell,Washington City Paper,US,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
Punch-Drunk Love,Paul Thomas Anderson,2002,7,Noah Gittell,Washington City Paper,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
12 Years a Slave,Steve McQueen,2013,8,Noah Gittell,Washington City Paper,US,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,9,Noah Gittell,Washington City Paper,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
We Need to Talk About Kevin,Lynne Ramsay,2011,10,Noah Gittell,Washington City Paper,US,/name/nm0708903/,"Glasgow, Strathclyde, Scotland, UK","[55.8317061, -4.0333295]"
Far From Heaven,Todd Haynes,2002,1,Owen Gleiberman,Variety,US,/name/nm0001331/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
Chuck & Buck,Miguel Arteta,2000,2,Owen Gleiberman,Variety,US,/name/nm0037708/,"San Juan, Puerto Rico","[18.465299, -66.116666]"
Gladiator,Ridley Scott,2000,3,Owen Gleiberman,Variety,US,/name/nm0000631/,"South Shields, County Durham, England, UK","[54.7665236, -1.7998427]"
The Century of the Self,Adam Curtis,2002,4,Owen Gleiberman,Variety,US,/name/nm0193231/,"Dartford, Kent, England, UK","[51.4443059, 0.21807]"
Moulin Rouge!,Baz Luhrmann,2001,5,Owen Gleiberman,Variety,US,/name/nm0525303/,"New South Wales, Australia","[-31.8759835, 147.2869493]"
Munich,Steven Spielberg,2005,6,Owen Gleiberman,Variety,US,/name/nm0000229/,"Cincinnati, Ohio, USA","[39.1014537, -84.5124602]"
Casino Royale,Martin Campbell,2006,7,Owen Gleiberman,Variety,US,/name/nm0132709/,"Hastings, New Zealand","[-39.6417678, 176.8430781]"
Lilya 4-Ever,Lukas Moodysson,2002,8,Owen Gleiberman,Variety,US,/name/nm0600546/,"Malmö, Skåne län, Sweden","[55.6052931, 13.0001566]"
Sideways,Alexander Payne,2004,9,Owen Gleiberman,Variety,US,/name/nm0668247/,"Omaha, Nebraska, USA","[41.2587459, -95.9383758]"
Inglourious Basterds,Quentin Tarantino,2009,10,Owen Gleiberman,Variety,US,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Mulholland Drive,David Lynch,2001,1,Ed Gonzalez,Slant Magazine,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
In the Mood for Love,Wong Kar-wai,2000,2,Ed Gonzalez,Slant Magazine,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
The New World,Terrence Malick,2005,3,Ed Gonzalez,Slant Magazine,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Certified Copy,Abbas Kiarostami,2010,4,Ed Gonzalez,Slant Magazine,US,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
Femme Fatale,Brian De Palma,2002,5,Ed Gonzalez,Slant Magazine,US,/name/nm0000361/,"Newark, New Jersey, USA","[40.735657, -74.1723667]"
Margaret,Kenneth Lonergan,2011,6,Ed Gonzalez,Slant Magazine,US,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Under the Skin,Jonathan Glazer,2013,7,Ed Gonzalez,Slant Magazine,US,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
This Is Not a Film,Mojtaba Mirtahmasb and Jafar Panahi,2011,8,Ed Gonzalez,Slant Magazine,US,,,"[46.3144754, 11.0480288]"
Two Lovers,James Gray,2008,9,Ed Gonzalez,Slant Magazine,US,/name/nm0336695/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Heart of a Dog,Laurie Anderson,2015,10,Ed Gonzalez,Slant Magazine,US,/name/nm0002173/,"Glen Ellyn, Illinois, USA","[41.8775293, -88.0670118]"
In the Mood for Love,Wong Kar-wai,2000,1,Juan Carlos González,El Tiempo,Colombia,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,Juan Carlos González,El Tiempo,Colombia,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
A Separation,Asghar Farhadi,2011,3,Juan Carlos González,El Tiempo,Colombia,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Son of Saul,László Nemes,2015,4,Juan Carlos González,El Tiempo,Colombia,/name/nm1841577/,"Budapest, Hungary","[47.4979937, 19.0403594]"
Elephant,Gus Van Sant,2003,5,Juan Carlos González,El Tiempo,Colombia,/name/nm0001814/,"Louisville, Kentucky, USA","[38.2542376, -85.759407]"
A Prophet,Jacques Audiard,2009,6,Juan Carlos González,El Tiempo,Colombia,/name/nm0002191/,"Paris, France","[48.8588897, 2.3200410217200766]"
There Will Be Blood,Paul Thomas Anderson,2007,7,Juan Carlos González,El Tiempo,Colombia,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
The Lives of Others,Florian Henckel von Donnersmarck,2006,8,Juan Carlos González,El Tiempo,Colombia,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany","[50.938361, 6.959974]"
Frances Ha,Noah Baumbach,2012,9,Juan Carlos González,El Tiempo,Colombia,/name/nm0000876/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Juan Carlos González,El Tiempo,Colombia,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Carmen Gray,Berlin Critics’ Week,Germany,,,"[46.3144754, 11.0480288]"
The Act of Killing,Joshua Oppenheimer,2012,2,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm1484791/,"Texas, USA","[31.168570000000003, -99.68300099546674]"
White Material,Claire Denis,2009,3,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0219136/,"Paris, France","[48.8588897, 2.3200410217200766]"
Even If She Had Been a Criminal...,Jean-Gabriel Périot,2006,4,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm1516014/,"Bellac, Haute-Vienne, France","[46.1209036, 1.0502545]"
Spring Breakers,Harmony Korine,2012,5,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0005101/,"Bolinas, California, USA","[37.9093702, -122.6863733]"
In the Mood for Love,Wong Kar-wai,2000,6,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Stranger by the Lake,Alain Guiraudie,2013,7,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0347492/,"Villefranche-de-Rouergue, Aveyron, France","[44.3517623, 2.0375431]"
Colossal Youth,Pedro Costa,2006,8,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm0182276/,"Lisbon, Portugal","[38.7077507, -9.1365919]"
Story of My Death,Albert Serra,2013,9,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm2247200/,"Banyoles, Girona, Catalonia, Spain","[42.1180477, 2.7653607]"
Aurora,Cristi Puiu,2010,10,Carmen Gray,Berlin Critics’ Week,Germany,/name/nm1090998/,"Bucharest, Romania","[44.4361414, 26.1027202]"
Dogville,Lars von Trier,2003,1,Tim Grierson,Screen International,US,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Zodiac,David Fincher,2007,2,Tim Grierson,Screen International,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
There Will Be Blood,Paul Thomas Anderson,2007,3,Tim Grierson,Screen International,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,4,Tim Grierson,Screen International,US,,,"[46.3144754, 11.0480288]"
Yi Yi: A One and a Two,Edward Yang,2000,5,Tim Grierson,Screen International,US,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,6,Tim Grierson,Screen International,US,,,"[46.3144754, 11.0480288]"
The Master,Paul Thomas Anderson,2012,7,Tim Grierson,Screen International,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
It's Such a Beautiful Day,Don Hertzfeldt,2012,8,Tim Grierson,Screen International,US,/name/nm0381116/,"Fremont, California, USA","[37.5482697, -121.988571]"
Boyhood,Richard Linklater,2014,9,Tim Grierson,Screen International,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Shutter Island,Martin Scorsese,2010,10,Tim Grierson,Screen International,US,/name/nm0000217/,"Queens, New York City, New York, USA","[40.7135078, -73.8283132]"
Saraband,Ingmar Bergman,2003,1,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0000005/,"Uppsala, Uppsala län, Sweden","[59.8586126, 17.6387436]"
Memento,Christopher Nolan,2000,2,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Blue Is the Warmest Color,Abdellatif Kechiche,2013,3,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0444244/,"Tunis, Tunisia","[33.8439408, 9.400138]"
The Return,Andrey Zvyagintsev,2003,4,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
Amour,Michael Haneke,2012,5,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Mulholland Drive,David Lynch,2001,6,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Import Export,Ulrich Seidl,2007,7,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0782430/,"Vienna, Austria","[48.2083537, 16.3725042]"
Son of Saul,László Nemes,2015,8,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm1841577/,"Budapest, Hungary","[47.4979937, 19.0403594]"
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
The Revenant,Alejandro González Iñárritu,2015,10,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Tropical Malady,Apichatpong Weerasethakul,2004,1,Antoine Guillot,France Culture,France,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
Mulholland Drive,David Lynch,2001,2,Antoine Guillot,France Culture,France,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,3,Antoine Guillot,France Culture,France,,,"[46.3144754, 11.0480288]"
Tie Xi Qu: West of the Tracks,Wang Bing,2002,4,Antoine Guillot,France Culture,France,/name/nm1504063/,"Xi'an, Shaanxi, China","[34.220444, 109.11150598002203]"
Le filmeur,Alain Cavalier,2005,5,Antoine Guillot,France Culture,France,/name/nm0146760/,"Vendôme, Loir-et-Cher, France","[47.7934453, 1.0662256]"
Holy Motors,Leos Carax,2012,6,Antoine Guillot,France Culture,France,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
Elephant,Gus Van Sant,2003,7,Antoine Guillot,France Culture,France,/name/nm0001814/,"Louisville, Kentucky, USA","[38.2542376, -85.759407]"
A Touch of Sin,Jia Zhangke,2013,8,Antoine Guillot,France Culture,France,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
Pan's Labyrinth,Guillermo Del Toro,2006,9,Antoine Guillot,France Culture,France,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Spirited Away,Hayao Miyazaki,2001,10,Antoine Guillot,France Culture,France,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
The New World,Terrence Malick,2005,1,Tom Gunning,University of Chicago,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Capitalism: Child Labor,Ken Jacobs,2007,2,Tom Gunning,University of Chicago,US,/name/nm0414499/,"Williamsburg, Brooklyn, New York City, New York, USA","[40.714622, -73.95345]"
Psalm III: 'Night of the Meek',Phil Solomon,2002,3,Tom Gunning,University of Chicago,US,/name/nm0813409/,"Manhattan, New York City, New York, USA","[40.7896239, -73.9598939]"
Goodbye to Language,Jean-Luc Godard,2014,4,Tom Gunning,University of Chicago,US,/name/nm0000419/,"Paris, France","[48.8588897, 2.3200410217200766]"
Daylight Moon,Lewis Klahr,2002,5,Tom Gunning,University of Chicago,US,/name/nm0458185/,,"[46.3144754, 11.0480288]"
Oldboy,Park Chan-wook,2003,6,Tom Gunning,University of Chicago,US,/name/nm0661791/,"Seoul, South Korea","[37.5666791, 126.9782914]"
A Commuter’s Life (What a Life!),What a Life!) (Ernie Gehr,2014,7,Tom Gunning,University of Chicago,US,,,"[46.3144754, 11.0480288]"
The Fourth Watch,Janie Geiser,2000,8,Tom Gunning,University of Chicago,US,/name/nm0312026/,"Baton Rouge, Louisiana, USA","[30.4459596, -91.18738]"
Our Daily Bread,Nikolaus Geyrhalter,2005,9,Tom Gunning,University of Chicago,US,/name/nm0315430/,"Vienna, Austria","[48.2083537, 16.3725042]"
The World,Jia Zhangke,2004,10,Tom Gunning,University of Chicago,US,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
Ankhon Dekhi,Rajat Kapoor,2013,1,Shubhra Gupta,The Indian Express,India,/name/nm0438494/,"New Delhi, India","[28.6138954, 77.2090057]"
Court,Chaitanya Tamhane,2014,2,Shubhra Gupta,The Indian Express,India,/name/nm4058904/,"Mumbai, Maharashtra, India","[19.0759899, 72.8773928]"
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,3,Shubhra Gupta,The Indian Express,India,/name/nm1962313/,"New Delhi, India","[28.6138954, 77.2090057]"
Monsoon Wedding,Mira Nair,2001,4,Shubhra Gupta,The Indian Express,India,/name/nm0619762/,"Bhubaneshwar, Orissa, India","[20.2602964, 85.8394521]"
Dev D,Anurag Kashyap,2009,5,Shubhra Gupta,The Indian Express,India,/name/nm0440604/,"Gorakhpur, Uttar Pradesh, India","[26.6711433, 83.36457243864551]"
Paan Singh Tomar,Tigmanshu Dhulia,2012,6,Shubhra Gupta,The Indian Express,India,/name/nm0223606/,,"[46.3144754, 11.0480288]"
Udaan,Vikramaditya Motwane,2010,7,Shubhra Gupta,The Indian Express,India,/name/nm0003939/,"Bombay, India","[19.0759899, 72.8773928]"
Hazaaron Khwaishein Aisi,Sudhir Mishra,2003,8,Shubhra Gupta,The Indian Express,India,/name/nm0592803/,,"[46.3144754, 11.0480288]"
Maqbool,Vishal Bhardwaj,2003,9,Shubhra Gupta,The Indian Express,India,/name/nm0080235/,,"[46.3144754, 11.0480288]"
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,2001,10,Shubhra Gupta,The Indian Express,India,/name/nm0332950/,"Kolhapur, Maharashtra, India","[16.7028412, 74.2405329]"
There Will Be Blood,Paul Thomas Anderson,2007,1,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Mulholland Drive,David Lynch,2001,2,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
AI: Artificial Intelligence,Steven Spielberg,2001,3,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0000229/,"Cincinnati, Ohio, USA","[39.1014537, -84.5124602]"
Blue Is the Warmest Color,Abdellatif Kechiche,2013,4,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0444244/,"Tunis, Tunisia","[33.8439408, 9.400138]"
Spirited Away,Hayao Miyazaki,2001,5,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,6,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0149196/,"Istanbul, Turkey","[41.0096334, 28.9651646]"
In the Mood for Love,Wong Kar-wai,2000,7,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
