movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dominant_lang
Katyn,Andrzej Wajda,2007,4,Mario Espinosa,Cinemateca de Cuba,Cuba,/title/tt0879843/,Polish
3-Iron,Kim Ki-duk,2004,5,Mario Espinosa,Cinemateca de Cuba,Cuba,/title/tt0423866/,Korean
Caché,Michael Haneke,2005,6,Mario Espinosa,Cinemateca de Cuba,Cuba,/title/tt0387898/,French
Mulholland Drive,David Lynch,2001,7,Mario Espinosa,Cinemateca de Cuba,Cuba,/title/tt0166924/,English
The Congress,Ari Folman,2013,8,Mario Espinosa,Cinemateca de Cuba,Cuba,/title/tt1821641/,English
Sympathy for Mr Vengeance,Park Chan-wook,2002,9,Mario Espinosa,Cinemateca de Cuba,Cuba,/title/tt0310775/,Korean
"Synecdoche, New York",Charlie Kaufman,2008,10,Mario Espinosa,Cinemateca de Cuba,Cuba,/title/tt0383028/,English
Yi Yi: A One and a Two,Edward Yang,2000,1,Joseph Fahim,Freelance film critic,Egypt,/title/tt0244316/,Mandarin
There Will Be Blood,Paul Thomas Anderson,2007,2,Joseph Fahim,Freelance film critic,Egypt,/title/tt0469494/,English
Boyhood,Richard Linklater,2014,3,Joseph Fahim,Freelance film critic,Egypt,/title/tt1065073/,English
Still Life,Jia Zhangke,2006,4,Joseph Fahim,Freelance film critic,Egypt,/title/tt2395417/,English
Archipelago,Joanna Hogg,2010,5,Joseph Fahim,Freelance film critic,Egypt,/title/tt1527835/,English
The Headless Woman,Lucrecia Martel,2008,6,Joseph Fahim,Freelance film critic,Egypt,/title/tt1221141/,Spanish
The Act of Killing,Joshua Oppenheimer,2012,7,Joseph Fahim,Freelance film critic,Egypt,/title/tt2375605/,Indonesian
Caché,Michael Haneke,2005,8,Joseph Fahim,Freelance film critic,Egypt,/title/tt0387898/,French
Divine Intervention,Elia Suleiman,2002,9,Joseph Fahim,Freelance film critic,Egypt,/title/tt0274428/,Arabic
Crimson Gold,Jafar Panahi,2003,10,Joseph Fahim,Freelance film critic,Egypt,/title/tt0371280/,Persian
Zodiac,David Fincher,2007,1,Devin Faraci,Birth.Movies.Death.,US,/title/tt0443706/,English
Inside Llewyn Davis,Joel and Ethan Coen,2013,2,Devin Faraci,Birth.Movies.Death.,US,/title/tt2042568/,English
There Will Be Blood,Paul Thomas Anderson,2007,3,Devin Faraci,Birth.Movies.Death.,US,/title/tt0469494/,English
Spider-Man 2,Sam Raimi,2004,4,Devin Faraci,Birth.Movies.Death.,US,/title/tt0316654/,English
Oldboy,Park Chan-wook,2003,5,Devin Faraci,Birth.Movies.Death.,US,/title/tt0364569/,Korean
Inglourious Basterds,Quentin Tarantino,2009,6,Devin Faraci,Birth.Movies.Death.,US,/title/tt0361748/,English
Frozen,Chris Buck and Jennifer Lee,2013,7,Devin Faraci,Birth.Movies.Death.,US,/title/tt2294629/,English
25th Hour,Spike Lee,2002,8,Devin Faraci,Birth.Movies.Death.,US,/title/tt0307901/,English
Requiem for a Dream,Darren Aronofsky,2000,9,Devin Faraci,Birth.Movies.Death.,US,/title/tt0180093/,English
Shaun of the Dead,Edgar Wright,2004,10,Devin Faraci,Birth.Movies.Death.,US,/title/tt0365748/,English
There Will Be Blood,Paul Thomas Anderson,2007,1,David Fear,Rolling Stone,US,/title/tt0469494/,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,David Fear,Rolling Stone,US,/title/tt1032846/,Romanian
Yi Yi: A One and a Two,Edward Yang,2000,3,David Fear,Rolling Stone,US,/title/tt0244316/,Mandarin
Shame,Steve McQueen,2011,4,David Fear,Rolling Stone,US,/title/tt1723811/,English
Boyhood,Richard Linklater,2014,5,David Fear,Rolling Stone,US,/title/tt1065073/,English
The Social Network,David Fincher,2010,6,David Fear,Rolling Stone,US,/title/tt1285016/,English
Manchester by the Sea,Kenneth Lonergan,2016,7,David Fear,Rolling Stone,US,/title/tt4034228/,English
Mulholland Drive,David Lynch,2001,8,David Fear,Rolling Stone,US,/title/tt0166924/,English
Head-On,Fatih Akin,2004,9,David Fear,Rolling Stone,US,/title/tt0347048/,German
In the Mood for Love,Wong Kar-wai,2000,10,David Fear,Rolling Stone,US,/title/tt0118694/,Cantonese
Sideways,Alexander Payne,2004,1,Scott Feinberg,The Hollywood Reporter,US,/title/tt0375063/,English
The Social Network,David Fincher,2010,2,Scott Feinberg,The Hollywood Reporter,US,/title/tt1285016/,English
"Synecdoche, New York",Charlie Kaufman,2008,3,Scott Feinberg,The Hollywood Reporter,US,/title/tt0383028/,English
The Diving Bell and the Butterfly,Julian Schnabel,2007,4,Scott Feinberg,The Hollywood Reporter,US,/title/tt0401383/,French
Dogville,Lars von Trier,2003,5,Scott Feinberg,The Hollywood Reporter,US,/title/tt0276919/,English
Short Term 12,Destin Daniel Cretton,2013,6,Scott Feinberg,The Hollywood Reporter,US,/title/tt2370248/,English
WALL-E,Andrew Stanton,2008,7,Scott Feinberg,The Hollywood Reporter,US,/title/tt0910970/,English
Blue Valentine,Derek Cianfrance,2010,8,Scott Feinberg,The Hollywood Reporter,US,/title/tt1120985/,English
The Squid and the Whale,Noah Baumbach,2005,9,Scott Feinberg,The Hollywood Reporter,US,/title/tt0367089/,English
A Serious Man,Joel and Ethan Coen,2009,10,Scott Feinberg,The Hollywood Reporter,US,/title/tt1019452/,English
Jersey Boys,Clint Eastwood,2014,1,Javier Porta Fouz,La Nacion,Argentina,/title/tt1742044/,English
Moulin Rouge!,Baz Luhrmann,2001,2,Javier Porta Fouz,La Nacion,Argentina,/title/tt0203009/,English
Nine Queens,Fabián Bielinsky,2000,3,Javier Porta Fouz,La Nacion,Argentina,/title/tt0247586/,Spanish
Mia Madre,Nanni Moretti,2015,4,Javier Porta Fouz,La Nacion,Argentina,/title/tt0381392/,French
"Right Now, Wrong Then",Hong Sang-soo,2015,5,Javier Porta Fouz,La Nacion,Argentina,/title/tt4768776/,Korean
Toy Story 3,Lee Unkrich,2010,6,Javier Porta Fouz,La Nacion,Argentina,/title/tt0435761/,English
Mad Max: Fury Road,George Miller,2015,7,Javier Porta Fouz,La Nacion,Argentina,/title/tt1392190/,English
Spirited Away,Hayao Miyazaki,2001,8,Javier Porta Fouz,La Nacion,Argentina,/title/tt0245429/,Japanese
Adventureland,Greg Mottola,2009,9,Javier Porta Fouz,La Nacion,Argentina,/title/tt1091722/,English
Open Range,Kevin Costner,2003,10,Javier Porta Fouz,La Nacion,Argentina,/title/tt0316356/,English
The World,Jia Zhangke,2004,1,Kenji Fujishima,Freelance film critic,US,/title/tt0423176/,Mandarin
Profit Motive and the Whispering Wind,John Gianvito,2007,2,Kenji Fujishima,Freelance film critic,US,/title/tt1158308/,None
Inglourious Basterds,Quentin Tarantino,2009,3,Kenji Fujishima,Freelance film critic,US,/title/tt0361748/,English
Pulse,Kiyoshi Kurosawa,2001,4,Kenji Fujishima,Freelance film critic,US,/title/tt0286751/,Japanese
Syndromes and a Century,Apichatpong Weerasethakul,2006,5,Kenji Fujishima,Freelance film critic,US,/title/tt0477731/,Thai
In Jackson Heights,Frederick Wiseman,2015,6,Kenji Fujishima,Freelance film critic,US,/title/tt4936064/,English
"Synecdoche, New York",Charlie Kaufman,2008,7,Kenji Fujishima,Freelance film critic,US,/title/tt0383028/,English
Love Exposure,Sion Sono,2008,8,Kenji Fujishima,Freelance film critic,US,/title/tt1128075/,Japanese
The Tree of Life,Terrence Malick,2011,9,Kenji Fujishima,Freelance film critic,US,/title/tt0478304/,English
Casino Royale,Martin Campbell,2006,10,Kenji Fujishima,Freelance film critic,US,/title/tt0381061/,English
Oldboy,Park Chan-wook,2003,1,Ernesto Garratt,El Mercurio,Chile,/title/tt0364569/,Korean
Children of Men,Alfonso Cuarón,2006,2,Ernesto Garratt,El Mercurio,Chile,/title/tt0206634/,English
Mulholland Drive,David Lynch,2001,3,Ernesto Garratt,El Mercurio,Chile,/title/tt0166924/,English
The Secret in Their Eyes,Juan José Campanella,2009,4,Ernesto Garratt,El Mercurio,Chile,/title/tt1305806/,Spanish
Sicario,Denis Villeneuve,2015,5,Ernesto Garratt,El Mercurio,Chile,/title/tt3397884/,English
No,Pablo Larraín,2012,6,Ernesto Garratt,El Mercurio,Chile,/title/tt2059255/,Spanish
Donnie Darko,Richard Kelly,2001,7,Ernesto Garratt,El Mercurio,Chile,/title/tt0246578/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Ernesto Garratt,El Mercurio,Chile,/title/tt0338013/,English
The Social Network,David Fincher,2010,9,Ernesto Garratt,El Mercurio,Chile,/title/tt1285016/,English
Whiplash,Damien Chazelle,2014,10,Ernesto Garratt,El Mercurio,Chile,/title/tt2582802/,English
Ex Machina,Alex Garland,2015,1,Steven Gaydos,Variety,US,/title/tt0470752/,English
Inside Out,Pete Docter,2015,2,Steven Gaydos,Variety,US,/title/tt2096673/,English
Animal Kingdom,David Michôd,2010,3,Steven Gaydos,Variety,US,/title/tt5574490/,English
Apocalypto,Mel Gibson,2006,4,Steven Gaydos,Variety,US,/title/tt0472043/,Maya
Three Monkeys,Nuri Bilge Ceylan,2008,5,Steven Gaydos,Variety,US,/title/tt1233381/,Turkish
WALL-E,Andrew Stanton,2008,6,Steven Gaydos,Variety,US,/title/tt0910970/,English
Listen to Me Marlon,Stevan Riley,2015,7,Steven Gaydos,Variety,US,/title/tt4145178/,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,8,Steven Gaydos,Variety,US,/title/tt1032846/,Romanian
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,9,Steven Gaydos,Variety,US,/title/tt0415306/,English
Centochiodi,Ermanno Olmi,2007,10,Steven Gaydos,Variety,US,/title/tt0985597/,Italian
United 93,Paul Greengrass,2006,1,Noah Gittell,Washington City Paper,US,/title/tt0475276/,English
Zodiac,David Fincher,2007,2,Noah Gittell,Washington City Paper,US,/title/tt0443706/,English
Bridesmaids,Paul Feig,2011,3,Noah Gittell,Washington City Paper,US,/title/tt1478338/,English
WALL-E,Andrew Stanton,2008,4,Noah Gittell,Washington City Paper,US,/title/tt0910970/,English
Brooklyn,John Crowley,2015,5,Noah Gittell,Washington City Paper,US,/title/tt2381111/,English
The Look of Silence,Joshua Oppenheimer,2014,6,Noah Gittell,Washington City Paper,US,/title/tt3521134/,Indonesian
Punch-Drunk Love,Paul Thomas Anderson,2002,7,Noah Gittell,Washington City Paper,US,/title/tt0272338/,English
12 Years a Slave,Steve McQueen,2013,8,Noah Gittell,Washington City Paper,US,/title/tt2024544/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,9,Noah Gittell,Washington City Paper,US,/title/tt0338013/,English
We Need to Talk About Kevin,Lynne Ramsay,2011,10,Noah Gittell,Washington City Paper,US,/title/tt1242460/,English
Far From Heaven,Todd Haynes,2002,1,Owen Gleiberman,Variety,US,/title/tt0297884/,English
Chuck & Buck,Miguel Arteta,2000,2,Owen Gleiberman,Variety,US,/title/tt0934814/,English
Gladiator,Ridley Scott,2000,3,Owen Gleiberman,Variety,US,/title/tt0172495/,English
The Century of the Self,Adam Curtis,2002,4,Owen Gleiberman,Variety,US,/title/tt0432232/,English
Moulin Rouge!,Baz Luhrmann,2001,5,Owen Gleiberman,Variety,US,/title/tt0203009/,English
Munich,Steven Spielberg,2005,6,Owen Gleiberman,Variety,US,/title/tt0408306/,English
Casino Royale,Martin Campbell,2006,7,Owen Gleiberman,Variety,US,/title/tt0381061/,English
Lilya 4-Ever,Lukas Moodysson,2002,8,Owen Gleiberman,Variety,US,/title/tt0300140/,Russian
Sideways,Alexander Payne,2004,9,Owen Gleiberman,Variety,US,/title/tt0375063/,English
Inglourious Basterds,Quentin Tarantino,2009,10,Owen Gleiberman,Variety,US,/title/tt0361748/,English
Mulholland Drive,David Lynch,2001,1,Ed Gonzalez,Slant Magazine,US,/title/tt0166924/,English
In the Mood for Love,Wong Kar-wai,2000,2,Ed Gonzalez,Slant Magazine,US,/title/tt0118694/,Cantonese
The New World,Terrence Malick,2005,3,Ed Gonzalez,Slant Magazine,US,/title/tt0402399/,English
Certified Copy,Abbas Kiarostami,2010,4,Ed Gonzalez,Slant Magazine,US,/title/tt1020773/,French
Femme Fatale,Brian De Palma,2002,5,Ed Gonzalez,Slant Magazine,US,/title/tt0280665/,English
Margaret,Kenneth Lonergan,2011,6,Ed Gonzalez,Slant Magazine,US,/title/tt3777860/,English
Under the Skin,Jonathan Glazer,2013,7,Ed Gonzalez,Slant Magazine,US,/title/tt1441395/,English
This Is Not a Film,Mojtaba Mirtahmasb and Jafar Panahi,2011,8,Ed Gonzalez,Slant Magazine,US,/title/tt1667905/,Persian
Two Lovers,James Gray,2008,9,Ed Gonzalez,Slant Magazine,US,/title/tt1103275/,English
Heart of a Dog,Laurie Anderson,2015,10,Ed Gonzalez,Slant Magazine,US,/title/tt0096126/,Russian
In the Mood for Love,Wong Kar-wai,2000,1,Juan Carlos González,El Tiempo,Colombia,/title/tt0118694/,Cantonese
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,2,Juan Carlos González,El Tiempo,Colombia,/title/tt1032846/,Romanian
A Separation,Asghar Farhadi,2011,3,Juan Carlos González,El Tiempo,Colombia,/title/tt1832382/,Persian
Son of Saul,László Nemes,2015,4,Juan Carlos González,El Tiempo,Colombia,/title/tt3808342/,Hungarian
Elephant,Gus Van Sant,2003,5,Juan Carlos González,El Tiempo,Colombia,/title/tt0363589/,English
A Prophet,Jacques Audiard,2009,6,Juan Carlos González,El Tiempo,Colombia,/title/tt1235166/,French
There Will Be Blood,Paul Thomas Anderson,2007,7,Juan Carlos González,El Tiempo,Colombia,/title/tt0469494/,English
The Lives of Others,Florian Henckel von Donnersmarck,2006,8,Juan Carlos González,El Tiempo,Colombia,/title/tt0405094/,German
Frances Ha,Noah Baumbach,2012,9,Juan Carlos González,El Tiempo,Colombia,/title/tt2347569/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Juan Carlos González,El Tiempo,Colombia,/title/tt0338013/,English
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,1,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt0249241/,Hungarian
The Act of Killing,Joshua Oppenheimer,2012,2,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt2375605/,Indonesian
White Material,Claire Denis,2009,3,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt1135952/,French
Even If She Had Been a Criminal...,Jean-Gabriel Périot,2006,4,Carmen Gray,Berlin Critics’ Week,Germany,,
Spring Breakers,Harmony Korine,2012,5,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt2101441/,English
In the Mood for Love,Wong Kar-wai,2000,6,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt0118694/,Cantonese
Stranger by the Lake,Alain Guiraudie,2013,7,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt2852458/,French
Colossal Youth,Pedro Costa,2006,8,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt3295734/,
Story of My Death,Albert Serra,2013,9,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt3102458/,Catalan
Aurora,Cristi Puiu,2010,10,Carmen Gray,Berlin Critics’ Week,Germany,/title/tt0018455/,None
Dogville,Lars von Trier,2003,1,Tim Grierson,Screen International,US,/title/tt0276919/,English
Zodiac,David Fincher,2007,2,Tim Grierson,Screen International,US,/title/tt0443706/,English
There Will Be Blood,Paul Thomas Anderson,2007,3,Tim Grierson,Screen International,US,/title/tt0469494/,English
Inside Llewyn Davis,Joel and Ethan Coen,2013,4,Tim Grierson,Screen International,US,/title/tt2042568/,English
Yi Yi: A One and a Two,Edward Yang,2000,5,Tim Grierson,Screen International,US,/title/tt0244316/,Mandarin
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,6,Tim Grierson,Screen International,US,/title/tt1316540/,Hungarian
The Master,Paul Thomas Anderson,2012,7,Tim Grierson,Screen International,US,/title/tt1560747/,English
It's Such a Beautiful Day,Don Hertzfeldt,2012,8,Tim Grierson,Screen International,US,/title/tt2396224/,English
Boyhood,Richard Linklater,2014,9,Tim Grierson,Screen International,US,/title/tt1065073/,English
Shutter Island,Martin Scorsese,2010,10,Tim Grierson,Screen International,US,/title/tt1130884/,English
Saraband,Ingmar Bergman,2003,1,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt0299478/,Swedish
Memento,Christopher Nolan,2000,2,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt0209144/,English
Blue Is the Warmest Color,Abdellatif Kechiche,2013,3,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt2278871/,French
The Return,Andrey Zvyagintsev,2003,4,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt0441909/,Spanish
Amour,Michael Haneke,2012,5,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt1602620/,French
Mulholland Drive,David Lynch,2001,6,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt0166924/,English
Import Export,Ulrich Seidl,2007,7,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt0459102/,German
Son of Saul,László Nemes,2015,8,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt3808342/,Hungarian
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt0266697/,English
The Revenant,Alejandro González Iñárritu,2015,10,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,/title/tt1663202/,English
Tropical Malady,Apichatpong Weerasethakul,2004,1,Antoine Guillot,France Culture,France,/title/tt0381668/,Thai
Mulholland Drive,David Lynch,2001,2,Antoine Guillot,France Culture,France,/title/tt0166924/,English
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,3,Antoine Guillot,France Culture,France,/title/tt1316540/,Hungarian
Tie Xi Qu: West of the Tracks,Wang Bing,2002,4,Antoine Guillot,France Culture,France,/title/tt0389448/,Mandarin
Le filmeur,Alain Cavalier,2005,5,Antoine Guillot,France Culture,France,/title/tt0463991/,French
Holy Motors,Leos Carax,2012,6,Antoine Guillot,France Culture,France,/title/tt2076220/,French
Elephant,Gus Van Sant,2003,7,Antoine Guillot,France Culture,France,/title/tt0363589/,English
A Touch of Sin,Jia Zhangke,2013,8,Antoine Guillot,France Culture,France,/title/tt2852400/,Mandarin
Pan's Labyrinth,Guillermo Del Toro,2006,9,Antoine Guillot,France Culture,France,/title/tt0457430/,Spanish
Spirited Away,Hayao Miyazaki,2001,10,Antoine Guillot,France Culture,France,/title/tt0245429/,Japanese
The New World,Terrence Malick,2005,1,Tom Gunning,University of Chicago,US,/title/tt0402399/,English
Capitalism: Child Labor,Ken Jacobs,2007,2,Tom Gunning,University of Chicago,US,/title/tt3703130/,None
Psalm III: 'Night of the Meek',Phil Solomon,2002,3,Tom Gunning,University of Chicago,US,/title/tt0351599/,
Goodbye to Language,Jean-Luc Godard,2014,4,Tom Gunning,University of Chicago,US,/title/tt2400275/,French
Daylight Moon,Lewis Klahr,2002,5,Tom Gunning,University of Chicago,US,/title/tt0360504/,
Oldboy,Park Chan-wook,2003,6,Tom Gunning,University of Chicago,US,/title/tt0364569/,Korean
A Commuter’s Life (What a Life!),What a Life!) (Ernie Gehr,2014,7,Tom Gunning,University of Chicago,US,,
The Fourth Watch,Janie Geiser,2000,8,Tom Gunning,University of Chicago,US,/title/tt0282499/,
Our Daily Bread,Nikolaus Geyrhalter,2005,9,Tom Gunning,University of Chicago,US,/title/tt0020768/,English
The World,Jia Zhangke,2004,10,Tom Gunning,University of Chicago,US,/title/tt0423176/,Mandarin
Ankhon Dekhi,Rajat Kapoor,2013,1,Shubhra Gupta,The Indian Express,India,/title/tt3614516/,Hindi
Court,Chaitanya Tamhane,2014,2,Shubhra Gupta,The Indian Express,India,/title/tt3717068/,Marathi
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,3,Shubhra Gupta,The Indian Express,India,/title/tt1608777/,Hindi
Monsoon Wedding,Mira Nair,2001,4,Shubhra Gupta,The Indian Express,India,/title/tt0265343/,Hindi
Dev D,Anurag Kashyap,2009,5,Shubhra Gupta,The Indian Express,India,/title/tt1327035/,Hindi
Paan Singh Tomar,Tigmanshu Dhulia,2012,6,Shubhra Gupta,The Indian Express,India,/title/tt1620933/,Hindi
Udaan,Vikramaditya Motwane,2010,7,Shubhra Gupta,The Indian Express,India,/title/tt10189514/,Tamil
Hazaaron Khwaishein Aisi,Sudhir Mishra,2003,8,Shubhra Gupta,The Indian Express,India,/title/tt0411469/,Hindi
Maqbool,Vishal Bhardwaj,2003,9,Shubhra Gupta,The Indian Express,India,/title/tt0379370/,Hindi
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,2001,10,Shubhra Gupta,The Indian Express,India,/title/tt0169102/,Hindi
There Will Be Blood,Paul Thomas Anderson,2007,1,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt0469494/,English
Mulholland Drive,David Lynch,2001,2,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt0166924/,English
AI: Artificial Intelligence,Steven Spielberg,2001,3,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt0212720/,English
Blue Is the Warmest Color,Abdellatif Kechiche,2013,4,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt2278871/,French
Spirited Away,Hayao Miyazaki,2001,5,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt0245429/,Japanese
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,6,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt1827487/,Turkish
In the Mood for Love,Wong Kar-wai,2000,7,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt0118694/,Cantonese
The Lady and the Duke,Éric Rohmer,2001,8,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt0239234/,French
Yi Yi: A One and a Two,Edward Yang,2000,9,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt0244316/,Mandarin
Silent Souls,Aleksey Fedorchenko,2010,10,Hauvick Habechian,An-Nahar Newspaper,Lebanon,/title/tt1693830/,Russian
"Synecdoche, New York",Charlie Kaufman,2008,1,Angie Han,Slashfilm,US,/title/tt0383028/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Angie Han,Slashfilm,US,/title/tt0338013/,English
Boyhood,Richard Linklater,2014,3,Angie Han,Slashfilm,US,/title/tt1065073/,English
Mad Max: Fury Road,George Miller,2015,4,Angie Han,Slashfilm,US,/title/tt1392190/,English
Me and You and Everyone We Know,Miranda July,2005,5,Angie Han,Slashfilm,US,/title/tt0415978/,English
Gone Girl,David Fincher,2014,6,Angie Han,Slashfilm,US,/title/tt2267998/,English
Inside Llewyn Davis,Joel and Ethan Coen,2013,7,Angie Han,Slashfilm,US,/title/tt2042568/,English
Only Lovers Left Alive,Jim Jarmusch,2013,8,Angie Han,Slashfilm,US,/title/tt1714915/,English
Selma,Ava DuVernay,2014,9,Angie Han,Slashfilm,US,/title/tt1020072/,English
Pain & Gain,Michael Bay,2013,10,Angie Han,Slashfilm,US,/title/tt1711018/,English
Inside Out,Pete Docter,2015,1,Aisha Harris,Slate,US,/title/tt2096673/,English
When the Levees Broke: A Requiem in Four Acts,Spike Lee,2006,2,Aisha Harris,Slate,US,/title/tt0783612/,English
Stories We Tell,Sarah Polley,2012,3,Aisha Harris,Slate,US,/title/tt2366450/,English
Her,Spike Jonze,2013,4,Aisha Harris,Slate,US,/title/tt1798709/,English
Children of Men,Alfonso Cuarón,2006,5,Aisha Harris,Slate,US,/title/tt0206634/,English
Before Midnight,Richard Linklater,2013,6,Aisha Harris,Slate,US,/title/tt2209418/,English
The Look of Silence,Joshua Oppenheimer,2014,7,Aisha Harris,Slate,US,/title/tt3521134/,Indonesian
Fruitvale Station,Ryan Coogler,2013,8,Aisha Harris,Slate,US,/title/tt2334649/,English
Love & Basketball,Gina Prince-Bythewood,2000,9,Aisha Harris,Slate,US,/title/tt3774694/,English
Brick,Rian Johnson,2005,10,Aisha Harris,Slate,US,/title/tt1623205/,English
Stray Dogs,Tsai Ming-liang,2013,1,Tina Hassannia,Freelance film critic,Canada,/title/tt0120399/,English
A Separation,Asghar Farhadi,2011,2,Tina Hassannia,Freelance film critic,Canada,/title/tt1832382/,Persian
Margaret,Kenneth Lonergan,2011,3,Tina Hassannia,Freelance film critic,Canada,/title/tt3777860/,English
Ten,Abbas Kiarostami,2002,4,Tina Hassannia,Freelance film critic,Canada,/title/tt0078721/,English
35 Shots of Rum,Claire Denis,2008,5,Tina Hassannia,Freelance film critic,Canada,/title/tt1100048/,French
Closed Curtain,Jafar Panahi,2013,6,Tina Hassannia,Freelance film critic,Canada,/title/tt2626926/,Persian
Tangerine,Sean Baker,2015,7,Tina Hassannia,Freelance film critic,Canada,/title/tt3824458/,English
The Royal Tenenbaums,Wes Anderson,2001,8,Tina Hassannia,Freelance film critic,Canada,/title/tt0265666/,English
Spring Breakers,Harmony Korine,2012,9,Tina Hassannia,Freelance film critic,Canada,/title/tt2101441/,English
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Tina Hassannia,Freelance film critic,Canada,/title/tt1588895/,Thai
Notre musique,Jean-Luc Godard,2004,1,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt0360845/,French
Triple Agent,Éric Rohmer,2004,2,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt0374294/,French
The Assassin,Hou Hsiao-hsien,2015,3,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt0107843/,English
Gran Torino,Clint Eastwood,2008,4,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt1205489/,English
Horse Money,Pedro Costa,2014,5,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt3907156/,Portuguese
Fantastic Mr Fox,Wes Anderson,2012,6,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt1531905/,English
Holy Motors,Leos Carax,2012,7,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt2076220/,French
Death Proof – Grindhouse,Quentin Tarantino,2007,8,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt1028528/,English
Déjà Vu,Tony Scott,2006,9,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt0453467/,English
Seventh Code,Kiyoshi Kurosawa,2013,10,Shiguehiko Hasumi,University of Tokyo,Japan,/title/tt3265404/,Japanese
Waiting for Happiness,Abderrahmane Sissako,2002,1,Katarina Hedrén,Freelance film critic,South Africa,/title/tt0308363/,French
The White Ribbon,Michael Haneke,2009,2,Katarina Hedrén,Freelance film critic,South Africa,/title/tt1149362/,German
Dreams of a Life,Carol Morley,2011,3,Katarina Hedrén,Freelance film critic,South Africa,/title/tt1819513/,English
Tey,Alain Gomis,2012,4,Katarina Hedrén,Freelance film critic,South Africa,/title/tt2178935/,French
The Gleaners and I,Agnès Varda,2000,5,Katarina Hedrén,Freelance film critic,South Africa,/title/tt0247380/,French
Lumumba,Raoul Peck,2000,6,Katarina Hedrén,Freelance film critic,South Africa,/title/tt0246765/,French
Hunger,Steve McQueen,2008,7,Katarina Hedrén,Freelance film critic,South Africa,/title/tt0085701/,English
Fruitvale Station,Ryan Coogler,2013,8,Katarina Hedrén,Freelance film critic,South Africa,/title/tt2334649/,English
"Eat, Sleep, Die",Gabriela Pichler,2012,9,Katarina Hedrén,Freelance film critic,South Africa,/title/tt2085002/,Swedish
Middle of Nowhere,Ava DuVernay,2012,10,Katarina Hedrén,Freelance film critic,South Africa,/title/tt1032817/,English
A Serious Man,Joel and Ethan Coen,2009,1,Jordan Hoffman,Freelance film critic,US,/title/tt1019452/,English
